id,img
BT10-072,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-072.png
BT10-073,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-073.png
BT10-074,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-074.png
BT10-075,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-075.png
BT10-076,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-076.png
BT10-077,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-077.png
BT10-078,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-078.png
BT10-079,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-079.png
BT10-080,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-080.png
BT10-081,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-081.png
BT10-082,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-082.png
BT10-083,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-083.png
BT10-084,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-084.png
BT10-085,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-085.png
BT10-086,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-086.png
BT10-087,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-087.png
BT10-088,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-088.png
BT10-089,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-089.png
BT10-090,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-090.png
BT10-091,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-091.png
BT10-092,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-092.png
BT10-092_b,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-092_b.png
BT10-093,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-093.png
BT10-093_b,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-093_b.png
BT10-094,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-094.png
BT10-095,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-095.png
BT10-096,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-096.png
BT10-097,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-097.png
BT10-098,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-098.png
BT10-099,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-099.png
BT10-100,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-100.png
BT10-101,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-101.png
BT10-102,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-102.png
BT10-103,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-103.png
BT10-104,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-104.png
BT10-105,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-105.png
BT10-106,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-106.png
BT10-107,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-107.png
BT10-108,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-108.png
BT10-109,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-109.png
BT10-110,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-110.png
BT10-111,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-111.png
BT10-112,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-112.png
BT10-113,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-113.png
BT10-114,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-114.png
BT10-115,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-115.png
BT10-116,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-116.png
BT10-117,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-117.png
BT10-118,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-118.png
BT10-119,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-119.png
BT10-120,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-120.png
BT10-121,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-121.png
BT10-122,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-122.png
BT10-123,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-123.png
BT10-124,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-124.png
BT10-125,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-125.png
BT10-126,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-126.png
BT10-127,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-127.png
BT10-128,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-128.png
BT10-129,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-129.png
BT10-130,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-130.png
BT10-131,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-131.png
BT10-132,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-132.png
BT10-133,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-133.png
BT10-134,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-134.png
BT10-135,http://www.dbs-cardgame.com/images/cardlist/cardimg/BT10-135.png
